size,prompt type,z-score
7.0,parallel,0.06259344203493322
7.0,parallel,0.27422235308894577
7.0,chain-of-thought,0.40498626337005816
7.0,chain-of-thought,0.5354141832147459
7.0,chain-of-thought,0.2563874650124808
7.0,chain-of-thought,0.6555004984396018
7.0,chain-of-thought,0.1325699351851343
7.0,chain-of-thought,0.3188830648387191
7.0,chain-of-thought,0.02461225360784436
7.0,chain-of-thought,0.5178378283303968
7.0,chain-of-thought,0.500050583562431
7.0,chain-of-thought,-0.11411024370568477
7.0,chain-of-thought,-0.05934612877401135
7.0,chain-of-thought,0.28143808007122445
7.0,chain-of-thought,0.6529319416317427
7.0,chain-of-thought,0.29743421972484213
7.0,chain-of-thought,0.03015450492193857
7.0,chain-of-thought,0.529072640418076
14.0,agentic,1.7516477794789864
14.0,zero-shot,0.6197368485469171
14.0,zero-shot,0.4657435319229875
14.0,zero-shot,0.10931248508284055
14.0,zero-shot,0.6555004984396018
14.0,zero-shot,0.4426974369900697
14.0,zero-shot,0.1868673353719607
14.0,zero-shot,0.15649678237440615
14.0,zero-shot,0.22426047683599867
14.0,zero-shot,0.09412716867057519
14.0,zero-shot,-0.11411024370568473
14.0,zero-shot,-0.26402017919146825
14.0,zero-shot,0.06961365938157503
14.0,zero-shot,0.2527064685686706
14.0,zero-shot,0.0584085325743648
14.0,zero-shot,-0.0022844321910560814
14.0,zero-shot,0.21050978125666323
14.0,few-shot,0.47656979176234443
14.0,few-shot,0.3264022293394707
14.0,few-shot,-0.11129998481161979
14.0,few-shot,0.1874749961200719
14.0,few-shot,0.30486299174343173
14.0,few-shot,0.2528752001053399
14.0,few-shot,0.222439046757687
14.0,few-shot,0.19164077111439887
14.0,few-shot,0.22943497363452708
14.0,few-shot,-0.0808095889277612
14.0,few-shot,-0.22990783745522542
14.0,few-shot,-0.10690669119313283
14.0,few-shot,0.3861149595896946
14.0,few-shot,-0.009884520897200119
14.0,few-shot,0.03015450492193856
14.0,few-shot,0.019372065759815538
14.0,parallel,0.29761097078162874
14.0,parallel,0.4309082062771083
14.0,parallel,-0.3319124547060801
14.0,parallel,0.5618953979756958
14.0,parallel,0.23594576912011275
14.0,parallel,0.08785553827189196
14.0,parallel,-0.008358878583796074
14.0,parallel,0.2568801825575984
14.0,parallel,-0.2779692949802926
14.0,parallel,-0.18071155326153177
14.0,parallel,-0.43458188787268237
14.0,parallel,0.03430958926663346
14.0,parallel,-0.2142232500049136
14.0,parallel,-0.21476368131189502
14.0,parallel,-0.39155167754699205
14.0,parallel,0.21050978125666323
14.0,chain-of-thought,0.7271121411353465
14.0,chain-of-thought,0.5354141832147459
14.0,chain-of-thought,0.2196187200300707
14.0,chain-of-thought,0.6242987982849664
14.0,chain-of-thought,0.5805318822367077
14.0,chain-of-thought,0.2528752001053399
14.0,chain-of-thought,0.15649678237440615
14.0,chain-of-thought,0.3873590054439976
14.0,chain-of-thought,0.39856972983946704
14.0,chain-of-thought,-0.1474108984836083
14.0,chain-of-thought,0.00887855469847428
14.0,chain-of-thought,0.3873502904160491
14.0,chain-of-thought,0.6529319416317427
14.0,chain-of-thought,-0.009884520897200143
14.0,chain-of-thought,0.15991025337391726
14.0,chain-of-thought,0.43350378266965217
32.0,agentic,0.11865214980091299
32.0,agentic,-0.02195102711932124
32.0,agentic,-0.028570308601197164
32.0,agentic,0.5033922101857545
32.0,agentic,0.33932160305509124
32.0,agentic,-0.0730386320157198
32.0,agentic,0.05758338579948482
32.0,agentic,-0.061161948227999474
32.0,agentic,0.5677044860444069
32.0,agentic,-0.3472148271511494
32.0,agentic,-0.05934612877401135
32.0,agentic,-0.23047093659542833
32.0,agentic,0.41946708234495067
32.0,agentic,0.08828674346817447
32.0,agentic,0.29777573610414454
32.0,agentic,0.14679720942438065
32.0,zero-shot,0.5481533201546307
32.0,zero-shot,0.3960728806312292
32.0,zero-shot,0.10931248508284058
32.0,zero-shot,0.5618953979756959
32.0,zero-shot,0.40823882567841024
32.0,zero-shot,0.05485160590520234
32.0,zero-shot,0.12352565018276568
32.0,zero-shot,0.32211959400079804
32.0,zero-shot,0.2970888761165031
32.0,zero-shot,-0.14741089848360828
32.0,zero-shot,-0.127570812246497
32.0,zero-shot,0.28143808007122445
32.0,zero-shot,0.5862276961212307
32.0,zero-shot,0.05840853257436481
32.0,zero-shot,-0.0022844321910560814
32.0,zero-shot,0.4016474967535109
32.0,few-shot,0.5481533201546308
32.0,few-shot,0.18706092675595398
32.0,few-shot,-0.07453123982920974
32.0,few-shot,0.46829029751178974
32.0,few-shot,0.30486299174343173
32.0,few-shot,0.021847673538512764
32.0,few-shot,0.057583385799484806
32.0,few-shot,0.1916407711143989
32.0,few-shot,0.2632619248755151
32.0,few-shot,0.019092375406009363
32.0,few-shot,-0.05934612877401138
32.0,few-shot,0.06961365938157503
32.0,few-shot,0.2527064685686706
32.0,few-shot,0.1608481127817122
32.0,few-shot,0.0950323791479279
32.0,few-shot,0.2742223530889458
32.0,parallel,0.6555286127430603
32.0,parallel,0.7095908114441419
32.0,parallel,0.07254374010043052
32.0,parallel,0.6242987982849664
32.0,parallel,0.20148715780845328
32.0,parallel,0.6159184561389255
32.0,parallel,0.09055451799112527
32.0,parallel,0.322119594000798
32.0,parallel,0.22943497363452714
32.0,parallel,-0.04750893414983769
32.0,parallel,-0.19579549571898258
32.0,parallel,0.10491772949651658
32.0,parallel,0.019241609281878482
32.0,parallel,-0.04403104763298263
32.0,parallel,-0.39155167754699205
32.0,parallel,0.4016474967535109
32.0,chain-of-thought,0.6913203769392035
32.0,chain-of-thought,0.3264022293394707
32.0,chain-of-thought,0.18284997504766068
32.0,chain-of-thought,0.6555004984396018
32.0,chain-of-thought,0.5805318822367077
32.0,chain-of-thought,0.2858791324720295
